实体名称,类型,经度,纬度,出现次数,有坐标变体
德阳市,city,104.398,31.127,4,是
忻州,city,112.7333,38.4167,41,是
忻州市,city,112.7333,38.4167,17,是
怀化,city,109.9981,27.55,49,是
怀化市,city,109.98,27.55,9,是
怒江,region|city|river,98.9,25.5,23,是
恒山,mountain,117.1065,39.6733,13,是
成渝城市群,region,106.9123,29.4316,17,是
成都,city,104.0668,30.5728,55,是
成都大熊猫基地,landmark,104.1469,30.7327,2,否
成都大熊猫繁育研究基地,landmark,104.1469,30.7327,1,否
成都宽窄巷子,landmark,104.06,30.67,22,是
成都市,city,104.0668,30.5728,12,是
扎兰屯,city,122.7375,48.0067,51,是
扎兰屯市,city,122.7375,48.0067,18,是
扬中,city,119.8236,32.2361,33,是
扬中市,city,119.8236,32.2361,10,是
承德,city,117.9636,40.9511,34,否
承德市,city,117.9636,40.9511,14,是
承德避暑山庄,landmark,117.9486,40.9683,17,否
抚仙湖,lake,102.8931,24.5833,6,是
抚顺,city,123.9573,41.8773,18,否
抚顺市,city,123.9573,41.8773,9,否
拉萨,city,91.132,29.65,70,是
拉萨市,city,91.132,29.65,21,是
拉萨河源头,landmark,91.0,30.5,1,否
拙政园,landmark,120.618,31.318,31,否
攀枝花,city,101.7188,26.5804,44,否
攀枝花市,city,101.7188,26.5804,10,否
故宫,landmark,116.3972,39.9163,20,否
敦化,city,128.23,43.37,34,是
敦化市,city,128.2322,43.3725,14,是
新乡,city,113.9268,35.3029,38,是
新乡市,city,113.9268,35.3029,11,是
新民,city,122.8289,41.9983,33,否
新民市,city,122.8289,41.9983,16,是
新沂,city,118.3544,34.3694,43,是
新沂市,city,118.3544,34.3694,10,是
新疆维吾尔自治区,province,87.6177,43.793,158,是
无锡,city,120.3119,31.4912,42,是
无锡市,city,120.3119,31.4912,7,是
日月潭,lake|landmark,120.9122,23.8594,22,否
日照,city,119.5269,35.4164,40,否
日照市,city,119.5269,35.4164,14,是
昆仑山脉,mountain,85.0,36.0,25,是
昆山,city,120.98,31.39,22,是
昆山市,city,120.9803,31.3853,1,否
昆明,city,102.8329,24.8801,57,是
昆明市,city,102.7046,25.0443,10,是
昭通,city,103.7173,27.338,41,是
昭通市,city,103.7173,27.338,17,是
晋中,city,112.7525,37.6872,42,是
晋中市,city,112.7525,37.6872,11,是
晋城,city,112.8514,35.4975,37,是
晋城市,city,112.8514,35.4975,11,否
普兰店,region|district|city,121.9383,39.3917,41,否
普兰店区,city,121.9383,39.3917,6,否
普洱,city,100.966,22.825,41,是
普洱市,city,100.97,22.83,9,是
普陀山,mountain|landmark,122.3833,30.0,22,是
曲阜孔庙,landmark,116.9869,35.5958,24,否
曲靖,city,103.7961,25.4895,36,是
曲靖市,city,103.7961,25.4895,13,是
朔州,city,112.4333,39.3333,36,否
朔州市,city,112.4333,39.3333,9,否
朝阳,district|city|landmark,120.4508,41.5757,44,是
朝阳区,district,116.4861,39.9289,1,否
朝阳市,city,120.4508,41.5757,11,否
朝鲜,region,126.0,40.0,1,否
本溪,city,123.7674,41.2978,43,否
本溪市,city,123.7674,41.2978,14,否
来宾,city,109.2218,23.752,37,否
来宾市,city,109.2218,23.752,14,是
杭州,city,120.1551,30.2741,55,是
杭州市,city,120.1551,30.2741,9,是
松原,city,124.825,45.1411,44,否
松原市,city,124.825,45.1411,20,是
松花江,river,126.6,45.8,22,是
枣庄,city,117.3237,34.8107,29,否
枣庄市,city,117.3237,34.8107,13,否
某地,landmark,117.0,36.65,1,否
柳州,city,109.4281,24.3264,46,否
柳州市,city,109.4281,24.3264,9,否
株洲,city,113.1337,27.8274,49,否
株洲市,city,113.1337,27.8274,10,否
根河,city,121.5217,50.7803,39,是
根河市,city,121.5217,50.7803,11,是
桂林,city,110.29,25.2736,52,是
桂林市,city,110.29,25.2736,4,是
桦甸,city,126.7464,42.9722,45,是
桦甸市,city,126.7464,42.9722,16,是
梅河口,city,125.7108,42.5383,38,是
梅河口市,city,125.7108,42.5383,12,是
梧州,city,111.2794,23.4769,35,是
梧州市,city,111.279,23.4768,12,是
榆林,city,109.7341,38.2679,33,是
